idx,OPEX,CAPEX,NPV,CF,ciclos,BCR,Ppvinst,C,PinverterBESS,n_ciclos,frac_C,min_spread,alpha,beta,gamma,n_horas_c,n_horas_d
10,5209553.532472194,2492566.3543564826,2716987.1781157115,431141.1192559287,516.1853921676887,2.090036047933885,1870.7156391958538,5194.0012893684125,3066.778355096402,2,0.7652859210679012,0.02115387098594429,4.646650495066845,0.9363907382701008,0.21215937617964262,6,5
11,2978072.3030576725,1224945.5440280603,1753126.7590296122,246464.38854349544,512.6502023993693,2.4311875067235253,2087.962577225151,515.6822956194025,200.59634066425818,2,0.6327784438543299,0.00500271588758136,1.398182191859433,0.021071940820929086,0.10601970234237432,6,6
12,4596752.520223079,2194290.9207074773,2402461.599515602,380425.8875848431,503.1180599609828,2.09486922487972,3666.6324420401165,1373.7400275661623,581.0466108846439,2,0.6095914719076961,0.01867763288997132,4.899290955132908,0.26247786096143905,0.5433228269615005,6,6
13,6663708.053625544,3574789.259834106,3088918.7937914375,551486.520049537,521.9199801936462,1.864084165323576,2254.2653139873664,9003.871500282487,3568.9570883583015,2,0.6143083784923017,0.002142822835848736,1.2228543710705948,0.26693219668774093,0.4545680487750061,6,6
14,484292.6680574783,321575.10417047545,162717.56388700288,40079.918874479015,502.27184893329917,1.5060017450876484,145.09023297937665,512.6419424601635,217.14045546112283,2,0.7640667595124161,0.019928234875805823,2.240831209688717,0.9289305473972401,0.18067040379475074,6,6
15,1316558.2057135974,662596.5233619804,653961.6823516169,108957.97016746888,206.2109251207205,1.9869681764000953,906.0728363737096,528.8869171389957,70.45238838128729,2,0.7494848611543192,0.0188034279204088,1.200692833376239,0.11943021180433827,0.4405285881302991,6,5
16,2591009.4331033276,1074306.7209360264,1516702.7121673012,214431.17918412527,459.4600408006257,2.411796726772613,1729.1916360342682,573.332779317986,231.9029356760265,2,0.6671963168854947,0.021848010063344133,4.779609796690056,0.043769902426548046,0.1374476337608938,6,5
17,4492401.455721132,2135901.623120283,2356499.8326008497,371789.82415551366,417.8250745852756,2.1032810720740502,3659.4615025954763,1182.7034635652158,471.3209947947129,2,0.7628471994651339,0.018862854657793485,4.6524065640644245,0.26377738696241826,0.1709273302699014,6,4
18,7283556.181680099,4026122.66446915,3257433.517210949,602784.9689535284,490.02191928666133,1.809074583334993,2559.6356264475435,10159.204743476155,4026.1533311064863,2,0.7581622220207563,0.0022694986886395638,2.112903503188539,0.9105978404938228,0.09734816486818998,6,5
19,1155145.8252883665,600901.4434630491,554244.3818253174,95599.52900268964,457.5837181938159,1.9223548850725956,702.189548347638,501.1498094386314,412.38482688379105,2,0.7626931616577743,0.019778628989461262,4.595567583392549,0.07395235194383631,0.21069010463514215,5,4
20,6307450.680537333,3389040.3459161855,2918410.3346211473,522002.76455705066,460.3511644535014,1.8611317767691522,2983.9085383174993,7127.760159317281,2623.001520027101,2,0.6843223932669522,0.008853290838164756,1.173332317570021,0.23473651700338302,0.02744263442282663,6,5
21,1548187.1302258582,741670.1957377974,806516.9344880608,128127.51188419876,512.7565523504885,2.0874333890224013,906.0728363737096,710.2829445890858,407.2905331894206,2,0.7494848611543192,0.018773891070473944,2.344607773709688,0.061984966568074125,0.4405285881302991,6,5
22,5334174.261103401,2613418.7498808648,2720755.511222536,441454.694131327,501.38656205904374,2.041071397894641,2238.271646999034,5149.365785995083,2716.321758222275,2,0.7180649437911572,0.020056581648253653,2.0748334154609616,0.6447724725983988,0.4526633189183601,6,5
23,5849873.296717332,2989329.12403698,2860544.172680352,484133.79475442437,499.7238911527391,1.956918443566124,2241.650679932469,6651.466228850832,3071.102991801549,2,0.7590609406228402,0.008438219830260999,4.653944300517168,0.26864505981540854,0.5183306870583464,6,5
24,5718372.495535527,2881584.6408676314,2836787.854667896,473250.8270967967,515.9971240916165,1.9844541140439147,3324.2847795135035,4248.3372040211925,2391.2047589708272,2,0.7692150476585731,0.020191841771657084,1.933509709591867,0.9103835202307109,0.05892270706494401,6,5
25,1067346.8423336647,576579.150243046,490767.69209061866,88333.31097754173,466.25616189049737,1.8511714165934459,577.0157237343246,723.1087828001173,279.4312455791532,2,0.7636828732706101,0.010013281969862259,1.4603216651035384,0.7273114064370809,0.11338431794811613,6,5
26,3856916.3697007564,1687694.627770811,2169221.7419299455,319197.2652059839,463.74177518287854,2.2853164940124024,3031.697806828268,607.8769548988121,225.5854594100112,2,0.6830887688153274,0.008829897668314528,4.526794325454535,0.23381296452130707,0.30949101204281726,6,5
