idx,OPEX,CAPEX,NPV,CF,ciclos,BCR,Ppvinst,C,PinverterBESS,n_ciclos,frac_C,min_spread,alpha,beta,gamma,n_horas_c,n_horas_d
11,4225369.412240244,2257842.7261246555,1967526.686115589,349690.330717942,0.4675810473815461,1.8714188385887431,4309.292650618444,500.9445556405215,217.24285281694608,1,0.6432993330582949,0.27670987749122156,3.2252573353318987,0.062185043017847996,0.19434429782377355,5,4
12,3054461.364426841,1372956.8440842207,1681504.5203426203,252786.32481160865,0.46758104738154616,2.224732246747497,2430.899328837331,503.85220203755483,122.17819205922248,2,0.6427170509414518,3.1214989462995795,4.298590328386041,0.04224971465355204,0.47160333469556315,6,3
13,1791866.992161956,863796.7326382723,928070.2595236836,148294.38564034633,0.0,2.0744081616158727,1315.207613061779,500.9445556405215,217.24285281694608,1,0.6433513124538579,0.27670987749122156,3.229754154939629,0.8117550256576276,0.0789483585859174,5,3
14,2938900.087383477,1308776.5141913104,1630123.5731921666,243222.50748704094,5.453222039192114,2.2455324155930594,2299.949243264281,504.18249020955767,93.67737587621124,1,0.8263223605081788,0.13766904968751748,3.193125111338824,0.023581784788371307,0.49127668276217396,6,6
15,2094667.7858180609,950197.0780188182,1144470.7077992428,173354.090329958,0.46758104738154604,2.204456143125055,1535.4057116435715,500.6115760066312,77.92021531336059,2,0.601153650964565,7.4063764406265555,3.0918652530229225,0.9473487621664652,0.4923663263521363,5,4
16,4860159.024591982,2581056.3586957594,2279102.665896223,402225.33247105544,319.45548099812527,1.8830115848566291,4088.5485554765073,2269.0941327116734,507.7192170477938,2,0.6018791194160178,0.011408428671399129,3.1644634596027266,0.9841869166682009,0.1547624405120977,5,5
17,1320637.6059792186,691484.0246952,629153.5812840186,109295.58013451309,0.0,1.9098598938151086,976.256850030743,504.1968685199293,85.13134122796792,2,0.6427170509414518,3.1214989462995795,4.298590328386041,0.04304764362371511,0.24537067318074246,3,6
18,3353456.399674659,1525469.1713787294,1827987.2282959297,277531.0660538656,0.46758104738154604,2.1983114851438015,2774.9164107957517,500.0240929594985,63.04463433349576,2,0.6090514531200456,2.6181780041949705,3.2413113566008316,0.046827454903682286,0.20264429985219493,6,6
19,908729.2813457411,550192.9456750989,358536.3356706422,75206.16824799462,0.0,1.651655639151662,679.661967468465,500.9352005218358,63.669436683455125,2,0.6281886910447646,0.18332496845274893,3.4203693900216603,0.962552474214188,0.2746205314102214,5,5
20,415975.6833934514,388832.37900182547,27143.30439162592,34426.02530209429,0.0,1.0698072122010664,325.05490410562396,500.94175231979415,96.16099509767925,2,0.6295214476759763,3.3638670162690727,4.307347205033757,0.9309000254371885,0.14607723915693752,5,3
21,2721435.0156772067,1201557.73646634,1519877.2792108667,225225.1620657685,0.46758104738154604,2.2649223862356145,2076.326006486554,500.46396246245286,73.93531405847114,2,0.6414229498893106,7.76637228075926,4.299757862713782,0.07561385672346299,0.1287451914855278,6,3
22,2239732.7742458833,1007639.0310454138,1232093.7432004695,185359.62613754184,0.46758104738154604,2.22275309435184,1647.5056480124074,502.1878855375005,120.44002379784534,2,0.8010086750422794,7.6190719702149945,3.2639169596250954,0.06208536514625035,0.04119395507765715,5,6
23,1581730.6341999436,782307.5714872411,799423.0627127026,130903.5624146345,0.0,2.0218782124183243,1163.9778573608237,500.8219774956829,121.32814319444486,1,0.8177361158546835,7.735655042281993,3.5521529358831163,0.7345961017553457,0.4942361577325149,5,4
24,3115711.193814005,1379335.7339117168,1736375.459902288,257855.34269032208,81.4678080667617,2.2588490366866862,2445.0291636329243,502.7512637302487,122.56401715374953,1,0.6346741861440341,0.08341834302615414,4.985510123862873,0.27235064013019017,0.1932568736105426,6,6
25,694554.3668534725,479910.2539857104,214644.11286776216,57481.115270773415,0.0,1.4472588595161655,525.6650069672303,503.5243038690066,70.99159099694911,2,0.6781981186490231,3.1947485355381717,4.261026726112448,0.6235273924352127,0.29801355449575007,5,6
26,2304927.294167245,1028061.4989213019,1276865.795245943,190755.10544551816,0.46758104738154593,2.242013047454554,1700.0372615401957,500.0625698780752,89.49877981991402,2,0.6531927702853727,6.847115650008392,3.779052313153615,0.8880587413338115,0.20264429985219493,4,6
