t_ventana    t_original   estacion
t417         t6294        Otoño
t418         t6295        Otoño
t419         t6296        Otoño
t420         t6297        Otoño
t421         t6298        Otoño
t422         t6299        Otoño
t423         t6300        Otoño
t424         t6301        Otoño
t425         t6302        Otoño
t426         t6303        Otoño
t427         t6304        Otoño
t428         t6305        Otoño
t429         t6306        Otoño
t430         t6307        Otoño
t431         t6308        Otoño
t432         t6309        Otoño
t433         t6310        Otoño
t434         t6311        Otoño
t435         t6312        Otoño
t436         t6313        Otoño
t437         t6314        Otoño
t438         t6315        Otoño
t439         t6316        Otoño
t440         t6317        Otoño
t441         t6318        Otoño
t442         t6319        Otoño
t443         t6320        Otoño
t444         t6321        Otoño
t445         t6322        Otoño
t446         t6323        Otoño
t447         t6324        Otoño
t448         t6325        Otoño
t449         t6326        Otoño
t450         t6327        Otoño
t451         t6328        Otoño
t452         t6329        Otoño
t453         t6330        Otoño
t454         t6331        Otoño
t455         t6332        Otoño
t456         t6333        Otoño
t457         t6334        Otoño
t458         t6335        Otoño
t459         t6336        Otoño
t460         t6337        Otoño
t461         t6338        Otoño
t462         t6339        Otoño
t463         t6340        Otoño
t464         t6341        Otoño
t465         t6342        Otoño
t466         t6343        Otoño
t467         t6344        Otoño
t468         t6345        Otoño
t469         t6346        Otoño
t470         t6347        Otoño
t471         t6348        Otoño
t472         t6349        Otoño
t473         t6350        Otoño
t474         t6351        Otoño
t475         t6352        Otoño
t476         t6353        Otoño
t477         t6354        Otoño
t478         t6355        Otoño
t479         t6356        Otoño
t480         t6357        Otoño
t481         t6358        Otoño
t482         t6359        Otoño
t483         t6360        Otoño
t484         t6361        Otoño
t485         t6362        Otoño
t486         t6363        Otoño
t487         t6364        Otoño
t488         t6365        Otoño
t489         t6366        Otoño
t490         t6367        Otoño
t491         t6368        Otoño
t492         t6369        Otoño
t493         t6370        Otoño
t494         t6371        Otoño
t495         t6372        Otoño
t496         t6373        Otoño
t497         t6374        Otoño
t498         t6375        Otoño
t499         t6376        Otoño
t500         t6377        Otoño
t501         t6378        Otoño
t502         t6379        Otoño
t503         t6380        Otoño
t504         t6381        Otoño
t505         t8329        Invierno
t506         t8330        Invierno
t507         t8331        Invierno
t508         t8332        Invierno
t509         t8333        Invierno
t510         t8334        Invierno
t511         t8335        Invierno
